sector,industry,subindustry,ssic2010,ssic2015
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,25996,25996
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,26802,26802
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,27201,27201
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,27202,27202
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,27400,27400
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,27501,27501
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,27509,27509
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,27901,27901
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,27902,27902
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,28171,28171
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,28172,28172
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,31001,31001
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,31002,31002
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,31003,31003
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,31004,31004
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,31005,31005
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,31006,31006
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,31009,31009
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,32111,32111
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,32112,32112
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,32119,32119
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,32120,32120
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,32200,32200
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,32300,32300
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,32400,32400
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,32901,32901
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,32902,32902
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,32903,32903
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,32904,32904
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,32905,32905
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,32906,32906
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,32909,32909
Manufacturing,Precision Engineering (ITM subsectors),Test & Measurement,26511,26511
Manufacturing,Precision Engineering (ITM subsectors),Test & Measurement,26512,26512
Manufacturing,Precision Engineering (ITM subsectors),Test & Measurement,26513,26513
Manufacturing,Precision Engineering (ITM subsectors),Lasers & Optics,28192,28192
Manufacturing,Precision Engineering (ITM subsectors),Lasers & Optics,26701,26701
Manufacturing,Precision Engineering (ITM subsectors),Lasers & Optics,26709,26709
Manufacturing,Precision Engineering (ITM subsectors),Semiconductor Equipment,28273,28273
Manufacturing,Precision Engineering (ITM subsectors),Semiconductor Equipment,28274,28274
Manufacturing,Precision Engineering (ITM subsectors),Plastics,22211,22211
Manufacturing,Precision Engineering (ITM subsectors),Plastics,22214,22214
Manufacturing,Precision Engineering (ITM subsectors),Plastics,22215,22215
Manufacturing,Precision Engineering (ITM subsectors),Plastics,22216,22216
Manufacturing,Precision Engineering (ITM subsectors),Plastics,22218,22218
Manufacturing,Precision Engineering (ITM subsectors),Plastics,22219,22219
Manufacturing,Precision Engineering (ITM subsectors),Plastics,22220,22220
Manufacturing,Precision Engineering (ITM subsectors),Other PE Activities,25131,25131
Manufacturing,Precision Engineering (ITM subsectors),Other PE Activities,25139,25139
Manufacturing,Precision Engineering (ITM subsectors),Other PE Activities,27102,27102
Manufacturing,Precision Engineering (ITM subsectors),Other PE Activities,27103,27103
Manufacturing,Precision Engineering (ITM subsectors),Other PE Activities,27104,27104
Manufacturing,Precision Engineering (ITM subsectors),Other PE Activities,27109,27109
Manufacturing,Precision Engineering (ITM subsectors),Other PE Activities,28110,28111
Manufacturing,Precision Engineering (ITM subsectors),Other PE Activities,28121,28121
Manufacturing,Precision Engineering (ITM subsectors),Other PE Activities,28122,28122
